n_cells,cell_size_lambda,contested_cells,triple_covered_cells,A_variables,A_spearman,A_finds_optimum,B_variables,B_couplings,B_fill_fraction,B_spearman,B_finds_optimum,B_bound_gap_fraction,B_qubo_residual,B_exact_here
8,173231.6037732186,24,15,8,0.8962120549383256,False,36,110,0.291005291005291,0.9096491995450966,True,0.24892951859977802,0.0,False
12,115487.7358488124,39,26,8,0.9233662846645087,True,36,67,0.17724867724867724,0.9792844020645612,True,0.05558901493657243,0.0,False
16,86615.8018866093,48,16,8,0.9637127110489021,False,36,37,0.09788359788359788,0.9936313533374157,True,0.01891063823394651,0.0,False
24,57743.8679244062,58,14,8,0.966582101303473,False,36,31,0.082010582010582,0.9970256320531887,True,0.005186716174134658,0.0,False
32,43307.90094330465,60,8,8,0.9805791269355263,False,36,26,0.06878306878306878,0.9958708774385443,True,0.0026592455163883737,0.0,False
48,28871.9339622031,40,2,8,0.992616568979092,True,36,15,0.03968253968253968,0.9997900446155192,True,0.0002915451895043732,0.0,False
64,21653.950471652326,44,4,8,0.9912868515440468,True,36,15,0.03968253968253968,0.9999650074359198,True,0.0004535147392290249,0.0,False
128,10826.975235826163,24,2,8,0.992931502055813,True,36,8,0.021164021164021163,1.0,True,0.0001231527093596059,0.0,False
