weighting,shared_with_flat,median_baseline_m,max_baseline_m,unique_cells
flat (no science case),15,1156.3632811986583,1977.9582800476785,769
smooth tilt to long (r^1),10,1230.346733228537,1977.9582800476785,769
smooth tilt to long (r^4),11,1200.1933604111694,1977.9582800476785,769
smooth tilt to short (exp),9,1298.5945969413199,1977.9582800476785,770
restricted to long (r > 2rb),13,1298.5945969413199,1977.9582800476785,763
restricted to short (r < rb),8,839.1938047278846,1731.9431341075926,505
