objective,cells,redundancy,sigma_depth,sigma_radius,sigma_width,seconds,b_max_m
max cells,1330,11.714285714285714,34872746604.67789,1836669662314.397,325535105069.67633,2.166944980621338,411.5646119097293
w-cells: depth,1304,11.947852760736197,35311641815.21871,1831098917585.5723,329886547755.1321,5.157843112945557,415.68488521112306
Fisher: depth,756,20.608465608465607,31240947985.37706,3529568101492.6704,290532938449.1871,6.684609651565552,355.33800974293405
w-cells: radius,1312,11.875,37457007139.02178,1657787970022.6265,350340103396.038,5.820089340209961,410.8374313938824
Fisher: radius,1206,12.918739635157545,42376387803.92609,1543065275936.463,396850388483.80096,5.540875673294067,390.0907761305712
w-cells: width,1304,11.947852760736197,35311641815.21871,1831098917585.5723,329886547755.1321,5.330365896224976,415.68488521112306
Fisher: width,734,21.22615803814714,31175099909.38864,3388645430853.2427,290012444241.1769,6.328268527984619,344.43177097575017
