method,unique_cells,proven_optimal,seconds,gap_percent
MILP (exact),367,False,600.0741436481476,0.0
greedy removal,357,False,1.505192518234253,2.7247956403269753
greedy addition,362,False,0.10617923736572266,1.3623978201634876
annealing,370,False,11.549935579299927,-0.8174386920980926
greedy + local search,361,False,0.43979859352111816,1.6348773841961852
