case,selection,unique_cells,weighted_cells,sum_sq,median_baseline_m,max_baseline_m,psf_peak_sidelobe,psf_fwhm_arcsec
compact_source,"[1, 2, 5, 8, 11, 15, 18, 19, 21, 40, 44, 46, 51, 52, 57]",706,633.376654632985,7555234.0,842.3107546770713,1923.244820687205,0.10392250652388364,0.05116996281427152
extended_emission,"[43, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",505,1023.9999999999977,9982120.0,839.1938047278846,1731.9431341075926,0.16454475153588916,0.059815686281271555
