model,weighting,imag_residual_fraction,pixel_scale_rad,pixel_scale_arcsec,field_of_view_rad,n_occupied_cells,peak,main_lobe_radius_px,peak_sidelobe_level,sidelobe_rms,min_value,fwhm_px,ellipticity,fwhm_arcsec
golden,uniform,3.454826916175528e-17,2.64399088060914e-07,0.05453622667079339,6.768616654359398e-05,7404,1.0,3,0.07906236035515685,0.009514066189134694,-0.0822023456793843,1.848420245964946,0.07356795107065739,0.10080586551682796
fibonacci_radial,uniform,4.211489397066553e-17,2.64399088060914e-07,0.05453622667079339,6.768616654359398e-05,1962,1.0,6,0.3042210694875627,0.019475664315718746,-0.1825304039493751,2.4139401422873705,0.48075589722609424,0.1316471867695113
fibonacci_golden_angle,uniform,1.533599292807123e-17,2.64399088060914e-07,0.05453622667079339,6.768616654359398e-05,9498,1.0,2,0.1183003047848953,0.008917708222896366,-0.1183003047848953,1.3092839246441799,0.0,0.07140340489082096
random,uniform,2.6715514548403605e-17,2.64399088060914e-07,0.05453622667079339,6.768616654359398e-05,9874,1.0,2,0.15636865009797885,0.008755884612544302,-0.15636865009797885,1.2757800717979904,0.0,0.06957623117765627
