model,n_uv_samples,samples_outside_grid,n_samples,n_samples_outside_grid,unique_cells,occupied_fraction_full,occupied_fraction_annulus,annulus_cells,density_uniformity,angular_uniformity,uv_radius_min_lambda,uv_radius_max_lambda,uv_max_lambda,n_cells,cell_size_lambda,total_cells,redundant_samples,redundancy_fraction,mean_multiplicity,max_multiplicity
golden,15580,0,15580,0,6872,0.1048583984375,0.18502748733426755,37108,0.9681220895442944,0.9978397162338903,36150.27827942416,1733852.297943232,2041412.2626126907,256,15948.533301661646,65536,8708,0.5589216944801026,2.2671711292200234,32
fibonacci_radial,15580,0,15580,0,1813,0.0276641845703125,0.062762091137825,28616,0.8410841811796096,0.9916074494223456,8680.733097690687,1521982.6501451104,2041412.2626126907,256,15948.533301661646,65536,13767,0.8836328626444159,8.593491450634307,313
fibonacci_golden_angle,15580,0,15580,0,9018,0.137603759765625,0.21341868183973448,42180,0.9799499301219102,0.9980744208799038,154259.76995663613,1854020.9647220166,2041412.2626126907,256,15948.533301661646,65536,6562,0.42118100128369707,1.727655799512087,11
fibonacci_rational,15580,0,15580,0,1785,0.0272369384765625,0.061784417760402124,28648,0.8420981883532351,0.9916246187539947,9063.759207765332,1522929.1623767312,2041412.2626126907,256,15948.533301661646,65536,13795,0.8854300385109114,8.72829131652661,322
random,15580,0,15580,0,9266,0.141387939453125,0.19827069600205463,46724,0.9804235429116624,0.9988703242642711,57678.12201203141,1946229.1427624843,2041412.2626126907,256,15948.533301661646,65536,6314,0.4052631578947368,1.6814159292035398,23
rings,15580,0,15580,0,5116,0.07806396484375,0.102659445477326,49484,0.9331974651094251,0.9944274542876871,15426.54150421159,2001384.5711889125,2041412.2626126907,256,15948.533301661646,65536,10464,0.6716302952503209,3.0453479280688036,94
