method,kind,seconds,unique_cells,psf_peak_sidelobe,psf_fwhm_arcsec,max_baseline_m,min_separation_m,separation_violations
"golden spiral (ideal, infeasible)",ideal,0.0,693,0.05402761509253872,0.007408457643271041,18624.107754148255,265.5374741641376,0
"Reuleaux (ideal, infeasible)",ideal,0.0,916,0.05808947319675938,0.006560717620257198,18659.854001318898,2479.9610129902344,0
golden spiral (snapped to pads),analytic,0.0,463,0.10661463411710562,0.008856810741518822,15237.873773248893,287.37992619774155,0
Reuleaux (snapped to pads),analytic,0.0,681,0.10159646909002842,0.007401292889689098,15237.873773248893,255.56668580084138,0
best of 16 random feasible,random,0.0,301,0.12534933873404222,0.00987986085937191,14361.887120012783,34.38181531554894,0
innermost pads (compact config),real subset,0.0,1,1.0,,99.39961178826628,15.059088836770655,14
greedy removal,searched,44.97929239273071,750,0.07579890301255765,0.007310868919138178,16195.360877738822,55.556654921845706,0
annealing,searched,13.005356073379517,750,0.07579890301255765,0.007310868919138178,16195.360877738822,55.556654921845706,0
greedy + local search,searched,1.0031437873840332,750,0.07579890301255765,0.007310868919138178,16195.360877738822,55.556654921845706,0
