fractional_bandwidth,n_channels,n_samples,unique_cells,uv_radius_ratio,psf_peak_sidelobe
0.0,1,8610,340,1.0,0.15673881067689455
0.05,3,25830,370,1.0512820512820513,0.1461753969881455
0.1,5,43050,398,1.105263157894737,0.17154370145360825
0.2,5,43050,447,1.2222222222222223,0.12985934663204998
0.3,7,60270,487,1.3529411764705883,0.13707511286545368
